id,story,tradition,claim,type,confidence,source,location,status
C-129,1,Ireland,"Jacobs observes that Cúchulainn is dated to the first century and Finn to the third, so the two could not have met in any early form of the sagas, and calls the grotesque form of the legend enough to remove it from the hero-tale",SECONDARY SCHOLARSHIP,HIGH,"Jacobs, *Celtic Folk and Fairy Tales*",notes to no. XVIII,
C-130,1,Ireland,"Jacobs records that Alfred Nutt informed him parodies of the Irish sagas occur as early as the sixteenth century, and suggests this tale is a specimen",SECONDARY SCHOLARSHIP,HIGH,"Jacobs, *Celtic Folk and Fairy Tales*",notes to no. XVIII,
C-131,1,Ireland,Jacobs identifies Cucullin's power-finger as an instance of the life-index or external soul motif,SECONDARY SCHOLARSHIP,HIGH,"Jacobs, *Celtic Folk and Fairy Tales*",notes to no. XVIII,
C-132,1,Ireland,"Fin's thumb corresponds to the fios of the Fenian cycle, associated with the salmon of knowledge",SECONDARY SCHOLARSHIP,MEDIUM,scholarship,,
C-133,1,Ireland,Almost every statement Oonagh makes to Cucullin is literally true; the deception is built from arrangement rather than from lying,EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-134,1,Ireland,Cucullin himself performs the feats that establish the standard he is then measured against,EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-135,2,Ancient Egypt,"Ra ruled by the knowledge of his own secret name, which nobody else knew and which he kept hidden in his breast",PRIMARY SOURCE,HIGH,"Murray, *Ancient Egyptian Legends*",tale X,
C-136,2,Ancient Egypt,Ra had grown old and saliva ran from his mouth onto the earth,PRIMARY SOURCE,HIGH,"Murray, *Ancient Egyptian Legends*",tale X,
C-137,2,Ancient Egypt,"Isis mixed the earth with his saliva and moulded a hooded serpent, and used no charm or spell because the divine substance of Ra was already in it",PRIMARY SOURCE,HIGH,"Murray, *Ancient Egyptian Legends*",tale X,
C-138,2,Ancient Egypt,The other gods' power was of no avail against the serpent because the divine substance was incorporated in it,PRIMARY SOURCE,HIGH,"Murray, *Ancient Egyptian Legends*",tale X,
C-139,2,Ancient Egypt,"Ra first answered with a list of public titles ending 'Khepera in the morning, Ra at noontide, and Atmu in the evening', and Isis held her peace because these were names all men know",PRIMARY SOURCE,HIGH,"Murray, *Ancient Egyptian Legends*",tale X,
C-140,2,Ancient Egypt,The text marks the poison increasing after each of Isis's requests,PRIMARY SOURCE,HIGH,"Murray, *Ancient Egyptian Legends*",tale X,
C-141,2,Ancient Egypt,"As the name passed from Ra's heart to hers, Isis required him to swear to give his two eyes to Horus, the two eyes being the sun and the moon",PRIMARY SOURCE,HIGH,"Murray, *Ancient Egyptian Legends*",tale X,
C-142,2,Ancient Egypt,"Murray cites the source as a hieratic papyrus of the XXth dynasty, about 1200-1100 BC, published by Pleyte and Rossi in the Papyrus de Turin and translated by Wiedemann",SECONDARY SCHOLARSHIP,HIGH,"Murray, *Ancient Egyptian Legends*",note to tale X,
C-143,2,Ancient Egypt,"Murray records that the papyrus is written on both sides in two different hands, in black ink with occasional sentences in red",SECONDARY SCHOLARSHIP,HIGH,"Murray, *Ancient Egyptian Legends*",note to tale X,
C-144,2,Ancient Egypt,"Murray states that the surrounding text consists of magical formulae against snakebite, and that a magician healing by magic recited an event in which a god suffered the same malady, the words that cured the god being held to cure the patient",SECONDARY SCHOLARSHIP,HIGH,"Murray, *Ancient Egyptian Legends*",note to tale X,
C-145,2,Ancient Egypt,"In Egyptian thought a true name was a component of a being rather than a label, which is why monuments were defaced at the cartouche",SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-146,2,Ancient Egypt,"Because the weapon is made from Ra's own substance, no other god's power can act against it, and the attack is undefendable by design",EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-147,2,Ancient Egypt,"Isis withholds a cure she is able to give while the poison advances, and adds the oath about the eyes at the one moment it cannot be refused",EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-148,2,Ancient Egypt,"Isis is not punished, and the narrative closes praising her as healer and mistress of magic",PRIMARY SOURCE,HIGH,"Murray, *Ancient Egyptian Legends*",tale X,
C-149,3,Khoikhoi · Nama,In Bleek's Jackal Fable no. 7 the Jackal climbs onto a white cloud and eats it as if it were fat,PRIMARY SOURCE,HIGH,"Bleek, *Reynard the Fox in South Africa*",Jackal Fables no. 7,
C-150,3,Khoikhoi · Nama,"The Jackal asks the Hyena to catch him, promising to share, and she breaks his fall",PRIMARY SOURCE,HIGH,"Bleek, *Reynard the Fox in South Africa*",Jackal Fables no. 7,
C-151,3,Khoikhoi · Nama,"When the Hyena comes down the Jackal jumps aside crying that a thorn has pricked him and stuck in him, and she falls and is badly hurt",PRIMARY SOURCE,HIGH,"Bleek, *Reynard the Fox in South Africa*",Jackal Fables no. 7,
C-152,3,Khoikhoi · Nama,The fable ends by explaining that the Hyena's left hind foot is shorter and smaller than the right,PRIMARY SOURCE,HIGH,"Bleek, *Reynard the Fox in South Africa*",Jackal Fables no. 7,
C-153,3,Khoikhoi · Nama,"Bleek cites the original as Khoikhoi-language text in G. Krönlein's manuscript, pp. 30-31, in Sir George Grey's library",SECONDARY SCHOLARSHIP,HIGH,"Bleek, *Reynard the Fox in South Africa*",headnote to no. 7,
C-154,3,Khoikhoi · Nama,Bleek prints a Khoikhoi praise-address to the Hyena immediately before this fable,PRIMARY SOURCE,HIGH,"Bleek, *Reynard the Fox in South Africa*",before no. 7,
C-155,3,Khoikhoi · Nama,"Bleek's title imposes the European Reynard on Khoikhoi material, in which no such figure occurs",EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-156,3,Khoikhoi · Nama,"Bleek was a German-born philologist who arrived at the Cape in 1855 and later assembled, with Lucy Lloyd, the |xam archive of San narrative",SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-157,3,Khoikhoi · Nama,Bleek uses special characters for click consonants and explains them in footnotes,PRIMARY SOURCE,HIGH,"Bleek, *Reynard the Fox in South Africa*",footnotes,
C-158,3,Khoikhoi · Nama,"The spotted hyena's hind legs really are shorter than its forelegs, producing its sloped back",SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-159,3,Khoikhoi · Nama,The Jackal establishes the reciprocal arrangement by having it honoured on himself before breaking it,EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-160,3,Khoikhoi · Nama,The permanent mark of the deception is left on the victim rather than the trickster,EDITORIAL INTERPRETATION,MEDIUM,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-161,4,Türkiye,"In Borrow's opening anecdote the Hoca asks the congregation three times whether they know what he is going to say, and uses each answer to avoid preaching",PRIMARY SOURCE,HIGH,"Borrow, *The Turkish Jester*",opening pleasantry,
C-162,4,Türkiye,The congregation leave asking one another which of them know and which do not,PRIMARY SOURCE,HIGH,"Borrow, *The Turkish Jester*",opening pleasantry,
C-163,4,Türkiye,"The Hoca returns a borrowed cauldron with a saucepan inside it, says the cauldron has borne a child, and the owner takes the saucepan",PRIMARY SOURCE,HIGH,"Borrow, *The Turkish Jester*",the cauldron,
C-164,4,Türkiye,"On borrowing the cauldron again he does not return it, and tells the owner it is dead, adding that as he believed it could bear a child he should believe it can die",PRIMARY SOURCE,HIGH,"Borrow, *The Turkish Jester*",the cauldron,
C-165,4,Türkiye,"Ignored at a feast in ordinary clothes, the Hoca returns in a splendid pelisse, is seated at the head of the table, and offers food to the coat",PRIMARY SOURCE,HIGH,"Borrow, *The Turkish Jester*",the pelisse,
C-166,4,Türkiye,"He explains that since all the honour is being paid to the pelisse, the pelisse should be fed",PRIMARY SOURCE,HIGH,"Borrow, *The Turkish Jester*",the pelisse,
C-167,4,Türkiye,"Borrow supplies no manuscript, informant, date or named Turkish original for his translation",PRIMARY SOURCE,HIGH,"Borrow, *The Turkish Jester*",whole volume,
C-168,4,Türkiye,"Borrow renders the name as Cogia Nasr Eddin Efendi; the modern Turkish is Nasreddin Hoca, hoca being a title for a teacher or preacher",SECONDARY SCHOLARSHIP,HIGH,editorial and scholarship,,
C-169,4,Türkiye,"Nasreddin anecdotes are told across Türkiye, Iran, Central Asia, the Balkans, the Arab world and the Caucasus, under names including Mullah Nasruddin and Juha, and a tomb is shown at Akşehir",SECONDARY SCHOLARSHIP,MEDIUM,scholarship,,
C-170,4,Türkiye,The corpus consists of short anecdotes rather than long tales and has been added to for centuries,SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-171,4,Türkiye,The Hoca alters nothing physical; in all three anecdotes he extends the other party's own stated or enacted premise by one step,EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-172,4,Türkiye,"In these three anecdotes no one is physically harmed, unlike most of the tales retold in this book",EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-173,1,Japan,"A badger ruins an old farmer's fields nightly until the farmer catches it in a pit and hangs it upside down in the storehouse, intending to make soup of it",PRIMARY SOURCE,HIGH,"Ozaki, *Japanese Fairy Tales*",The Farmer and the Badger,
C-174,1,Japan,"The badger twice appeals to the farmer's wife to untie him so he can pound barley for her, promising not to escape",PRIMARY SOURCE,HIGH,"Ozaki, *Japanese Fairy Tales*",The Farmer and the Badger,
C-175,1,Japan,"Once untied, the badger kills the old woman with the pestle, cooks her, takes her shape and serves the soup to her husband",PRIMARY SOURCE,HIGH,"Ozaki, *Japanese Fairy Tales*",The Farmer and the Badger,
C-176,1,Japan,"The badger reverts to his own form, calls the farmer a wife-eating old man, tells him to look for the bones in the kitchen, and escapes laughing",PRIMARY SOURCE,HIGH,"Ozaki, *Japanese Fairy Tales*",The Farmer and the Badger,
C-177,1,Japan,A rabbit sets the badger's bundle of grass alight and explains the sounds by naming the place Crackling Mountain and then Burning Mountain,PRIMARY SOURCE,HIGH,"Ozaki, *Japanese Fairy Tales*",The Farmer and the Badger,
C-178,1,Japan,"The rabbit then applies an ointment of sauce mixed with red pepper to the burns, presenting it as medicine",PRIMARY SOURCE,HIGH,"Ozaki, *Japanese Fairy Tales*",The Farmer and the Badger,
C-179,1,Japan,"The rabbit builds two boats, one of wood and one of clay, keeping the wooden one and giving the badger the clay one",PRIMARY SOURCE,HIGH,"Ozaki, *Japanese Fairy Tales*",The Farmer and the Badger,
C-180,1,Japan,"The animal Ozaki calls a badger is the tanuki, the Japanese raccoon dog, a distinct species with its own shape-shifting folklore",SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-181,1,Japan,"The tale's usual Japanese title is Kachi-kachi Yama, Crackling Mountain, and the rabbit's deception turns on that name",SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-182,1,Japan,"Ozaki had a Japanese father and an English mother, was educated in both countries, and wrote these versions in English herself rather than collecting them as an outsider",SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-183,1,Japan,The avenging rabbit uses the same technique as the murderer — manufactured trust — four separate times,EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-184,1,Japan,"No court, official or authority appears anywhere in the tale",PRIMARY SOURCE,HIGH,"Ozaki, *Japanese Fairy Tales*",The Farmer and the Badger,
C-185,2,Māori · Aotearoa,"Mahuika gave Māui fire by pulling out her fingernails one at a time, each becoming a light",PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-186,2,Māori · Aotearoa,"Māui extinguished each light a short distance away and returned asking for another, until all the nails of both hands and then the feet were gone except one toenail",PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-187,2,Māori · Aotearoa,"Mahuika said to herself that he was surely playing tricks with her, then threw down the last nail and set the whole place on fire",PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-188,2,Māori · Aotearoa,"Māui became an eagle, found the pool almost boiling, and the forests, earth and sea all caught fire",PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-189,2,Māori · Aotearoa,"He called on Tāwhiri-mā-tea and Whatitiri-matakataka for water, and heavy lasting rain quenched the fire",PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-190,2,Māori · Aotearoa,Mahuika almost perished in the rain and her screams were as loud as Māui's had been,PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-191,2,Māori · Aotearoa,"Before the fire was lost she saved a few sparks in the kaikōmako and a few other trees, which is why men take wood from those trees to make a light",PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-192,2,Māori · Aotearoa,"His parents told him he had been warned, had played tricks with his ancestress, and that it served him right",PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-193,2,Māori · Aotearoa,"Grey collected while Governor of New Zealand, published the Māori text as well as the English, and combined recitations into continuous narrative, an editorial practice contested since",SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-194,2,Māori · Aotearoa,The scanned source carries visible OCR damage and no passage relied on rests on a doubtfully rendered word,EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-195,2,Māori · Aotearoa,Kaikōmako wood was genuinely used in Māori fire-making by friction,SECONDARY SCHOLARSHIP,MEDIUM,scholarship,,
C-196,2,Māori · Aotearoa,Māui narratives differ between iwi and no single telling is correct,SECONDARY SCHOLARSHIP,HIGH,"Grey, *Polynesian Mythology*",,
C-197,2,Māori · Aotearoa,The deception consists of repetition rather than of any false statement,EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-198,3,Māori · Aotearoa,Māui's father admitted omitting part of the baptismal prayers and said this would be the cause of his son's death,PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-199,3,Māori · Aotearoa,"He described Hine-nui-te-pō as having eyes shining red with jasper pupils, teeth sharp as volcanic glass, hair like tangles of seaweed and a mouth like a barracouta's",PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-200,3,Māori · Aotearoa,"Māui recounted beating Tama-nui-te-rā until he travelled slowly and splitting him so rays issue from the wounds, and drawing land up from the sea",PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-201,3,Māori · Aotearoa,"His companions were small birds including the robins, thrush, yellowhammer and the fantail, and they found Hine-nui-te-pō asleep",PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-202,3,Māori · Aotearoa,"Māui instructed the birds not to laugh until he was coming out of her mouth, explaining that laughing early would wake her and kill him, and that if they waited he would live and she would die",PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-203,3,Māori · Aotearoa,"The text notes the tattooing on his hips, mottled like a mackerel, cut with the chisel of Uetonga",PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-204,3,Māori · Aotearoa,"The fantail laughed, Hine-nui-te-pō woke and killed Māui",PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-205,3,Māori · Aotearoa,"Grey's text states that according to Māori tradition this was the cause of the introduction of death, and that had Māui passed safely through, death itself would have been destroyed",PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-206,3,Māori · Aotearoa,Grey records that the matter is expressed by saying that the water-wagtail laughed,PRIMARY SOURCE,HIGH,"Grey, *Polynesian Mythology*",The Legend of Maui,
C-207,3,Māori · Aotearoa,"The bird Grey calls Tiwakawaka is the New Zealand fantail, tīwakawaka",SECONDARY SCHOLARSHIP,HIGH,scholarship,,
C-208,3,Māori · Aotearoa,Tā moko was a named art and the tradition places its origin with Uetonga,SECONDARY SCHOLARSHIP,MEDIUM,scholarship,,
C-209,3,Māori · Aotearoa,Māui's plan fails through a variable outside his control rather than through an error in the deception,EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-210,3,Māori · Aotearoa,The tradition holds Māui both as a culture hero credited with the shape of the land and as the reason human beings die,EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-211,4,Southern India,"A sanyasi instructs a troubled landlord in a mantra which, repeated for three months, will summon a Brahmarakshas to serve him",PRIMARY SOURCE,HIGH,"Kingscote & Natesa Sastri, *Tales of the Sun*",tale XXVI,
C-212,4,Southern India,The formal instruction is given with the sage facing east and the disciple facing west,PRIMARY SOURCE,HIGH,"Kingscote & Natesa Sastri, *Tales of the Sun*",tale XXVI,
C-213,4,Southern India,"The Brahmarakshas agrees to serve but requires continuous work, threatening to kill the landlord if any job is not immediately followed by another",PRIMARY SOURCE,HIGH,"Kingscote & Natesa Sastri, *Tales of the Sun*",tale XXVI,
C-214,4,Southern India,"It deepens a tank two kos long and one broad in a single day, ploughs the lands of twenty villages in two ghatikas, and cultivates the garden lands in the twinkling of an eye",PRIMARY SOURCE,HIGH,"Kingscote & Natesa Sastri, *Tales of the Sun*",tale XXVI,
C-215,4,Southern India,The landlord's wife gives the Brahmarakshas one hair pulled from her own head and asks it to make the hair straight,PRIMARY SOURCE,HIGH,"Kingscote & Natesa Sastri, *Tales of the Sun*",tale XXVI,
C-216,4,Southern India,"It sits in a pipal tree rolling the hair on its thigh, then reasons from goldsmiths' practice that heat straightens wire, and burns the hair away",PRIMARY SOURCE,HIGH,"Kingscote & Natesa Sastri, *Tales of the Sun*",tale XXVI,
C-217,4,Southern India,It flees in fear of what the master's wife will say about the lost hair,PRIMARY SOURCE,HIGH,"Kingscote & Natesa Sastri, *Tales of the Sun*",tale XXVI,
C-218,4,Southern India,The tale closes by explaining the custom of nailing a handful of hair to a tree in which devils are supposed to dwell,PRIMARY SOURCE,HIGH,"Kingscote & Natesa Sastri, *Tales of the Sun*",tale XXVI,
C-219,4,Southern India,"A Brahmarakshas is understood in South Indian tradition as the ghost of a Brahmin, powerful and learned",SECONDARY SCHOLARSHIP,MEDIUM,scholarship,,
C-220,4,Southern India,"A kos is a distance of roughly two miles, varying regionally, and a ghatika is a period of about twenty-four minutes",SECONDARY SCHOLARSHIP,MEDIUM,scholarship,,
C-221,4,Southern India,"The volume's notes trace the neighbouring tale of the Lost Camel through Voltaire's Zadig, Mas'udi's Meadows of Gold of AD 943, the Wortley Montague manuscript of the Thousand and One Nights in the Bodleian, the Persian Nigaristan, the Hebrew Talmud and a Siberian version recorded by Radloff",SECONDARY SCHOLARSHIP,HIGH,"Kingscote & Natesa Sastri, *Tales of the Sun*",Notes to XIII,
C-222,4,Southern India,Pandit Natesa Sastri was a Tamil scholar and folklorist and is named as co-author with Kingscote,PRIMARY SOURCE,HIGH,"Kingscote & Natesa Sastri, *Tales of the Sun*",title page,
C-223,4,Southern India,"The task defeats the Brahmarakshas because it is unfinishable rather than large, and no false statement is made to it",EDITORIAL INTERPRETATION,HIGH,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
C-224,4,Southern India,"Neither the wife in this tale nor Oonagh at Knockmany is defeated by force, and neither is given a personal name beyond a relationship",EDITORIAL INTERPRETATION,MEDIUM,editorial,,"EDITORIAL — this book's own reading, offered as argument not as fact"
